Detected CPU features: mmx sse sse2 sse3 ssse3 sse4.1 sse4.2 popcnt avx avx2
bpp v4.8.7_macos_x86_64, 128GB RAM, 36 cores
https://github.com/bpp/bpp

Auto-selected SIMD ISA: AVX2


Starting timer..
Seed: 1156397925 (randomly generated)
Parsing species tree... Done
Parsing phylip file... Done

Summary of alignments *before* phasing sequences:
 Locus | Model | Sequences | Length | Ambiguous sites | Compressed | Base freqs 
   198 |  JC69 |        15 |    152 |               5 |          5 |      Fixed 
   199 |  JC69 |         2 |    276 |              15 |          5 |      Fixed 
   200 |  JC69 |        20 |    278 |              11 |          9 |      Fixed 
   201 |  JC69 |         7 |    437 |             174 |         11 |      Fixed 
   202 |  JC69 |        20 |    131 |              51 |          8 |      Fixed 
   203 |  JC69 |        12 |    106 |              26 |          9 |      Fixed 
   204 |  JC69 |         4 |    279 |              90 |          8 |      Fixed 
   205 |  JC69 |         5 |    282 |              14 |          6 |      Fixed 
   206 |  JC69 |        16 |   1007 |             585 |         16 |      Fixed 
   207 |  JC69 |        19 |     75 |               1 |          2 |      Fixed 
   208 |  JC69 |         2 |    278 |              11 |          4 |      Fixed 
   209 |  JC69 |         6 |    113 |               0 |          1 |      Fixed 
   210 |  JC69 |        14 |    107 |               5 |          6 |      Fixed 
   211 |  JC69 |        19 |    118 |              15 |          5 |      Fixed 
   212 |  JC69 |        18 |    140 |              13 |          5 |      Fixed 
   213 |  JC69 |        19 |    164 |               1 |          3 |      Fixed 
   214 |  JC69 |        11 |   1084 |             852 |         27 |      Fixed 
   215 |  JC69 |         3 |    275 |               8 |          3 |      Fixed 
   216 |  JC69 |        20 |    204 |               6 |          7 |      Fixed 
   217 |  JC69 |        20 |    209 |               8 |          9 |      Fixed 
   218 |  JC69 |        18 |     87 |               2 |          3 |      Fixed 
   219 |  JC69 |        16 |    148 |              17 |         11 |      Fixed 
   220 |  JC69 |         2 |    257 |               6 |          4 |      Fixed 
   221 |  JC69 |        11 |    463 |             241 |         13 |      Fixed 
   222 |  JC69 |        20 |    108 |               2 |          3 |      Fixed 
   223 |  JC69 |        17 |    292 |              28 |         20 |      Fixed 
   224 |  JC69 |        11 |    154 |              75 |          7 |      Fixed 
   225 |  JC69 |         5 |    114 |               2 |          3 |      Fixed 
   226 |  JC69 |        14 |    384 |              28 |         25 |      Fixed 
   227 |  JC69 |        20 |    291 |              11 |         12 |      Fixed 
   228 |  JC69 |        20 |    229 |              21 |         15 |      Fixed 
