Gen	theta:1:ajan	theta:2:alas	theta:3:R	tau:3:R	W:1->2:ajan->alas	W:2->1:alas->ajan	lnL
6100	0.007167	0.010888	0.003481	0.000550	464.030912	1080.785597	-550922.693
6120	0.006692	0.011376	0.003608	0.000538	451.386329	1105.227246	-550803.884
6140	0.006866	0.011485	0.003575	0.000550	414.904012	1212.436191	-550855.033
6160	0.007546	0.010446	0.003575	0.000537	407.458322	1146.596098	-550838.006
6180	0.006681	0.010286	0.003564	0.000508	422.585240	1164.746524	-550880.597
6200	0.006873	0.010634	0.003540	0.000534	403.622060	1094.752530	-550880.161
6220	0.007170	0.010510	0.003467	0.000517	444.926288	1108.834258	-550889.432
6240	0.007010	0.010018	0.003675	0.000532	455.459219	1061.205107	-550873.498
6260	0.006744	0.010605	0.003651	0.000548	430.316582	991.213201	-550905.396
6280	0.007402	0.011251	0.003393	0.000562	378.556214	1033.104028	-550920.257
6300	0.007188	0.010752	0.003330	0.000569	368.862247	1035.308622	-550951.439
6320	0.007311	0.010420	0.003525	0.000563	385.091320	1099.722860	-550880.686
6340	0.006975	0.009648	0.003527	0.000550	362.916311	1153.009403	-550721.995
6360	0.007232	0.010218	0.003455	0.000558	360.025257	1163.385035	-550901.695
6380	0.006862	0.010411	0.003572	0.000558	391.566453	1097.700723	-550937.963
6400	0.006992	0.010495	0.003548	0.000552	428.205637	1115.400026	-550936.652
6420	0.006848	0.009502	0.003475	0.000547	426.352160	1162.339958	-550846.139
6440	0.006737	0.009614	0.003450	0.000554	421.524999	1090.784763	-550881.495
6460	0.006770	0.010405	0.003450	0.000565	426.716688	971.273656	-550911.843
6480	0.007183	0.010200	0.003433	0.000544	444.371424	1134.885616	-550905.173
6500	0.008095	0.010275	0.003500	0.000565	498.381699	1042.535380	-550970.046
6520	0.007900	0.010295	0.003496	0.000535	490.818564	1206.054151	-550979.209
6540	0.007694	0.009722	0.003502	0.000557	490.789404	1143.404758	-550855.515
