Gen	theta:1_a1:ajan_a1	theta:1_b1:ajan_b1	theta:2_a1:alas_a1	theta:2_b1:alas_b1	theta:3_a1:R_a1	theta:3_b1:R_b1	W:1->2_a1:ajan->alas_a1	W:1->2_b1:ajan->alas_b1	W:2->1_a1:alas->ajan_a1	W:2->1_b1:alas->ajan_b1
515680	6648.9	40.56266	7179.4	93.49196	17525.7	60.02000	8505.0	7.19	10641.0	4.73
515700	6231.0	39.02323	7763.5	92.57584	17358.8	60.08025	8503.0	7.13	11235.0	4.61
515720	6139.0	38.15557	8262.4	96.62191	16951.8	59.33152	7945.0	7.50	11244.0	4.63
515740	6545.9	40.06860	8528.7	92.25015	16277.7	55.09318	7661.0	7.38	10416.0	4.83
515760	6528.4	35.81428	8636.9	95.99419	16186.7	54.17423	7090.0	7.51	10448.0	4.53
515780	6534.7	38.04064	8756.1	99.54863	16061.7	53.50877	7316.0	7.84	10592.0	4.78
515800	6380.7	37.51754	8801.3	102.31095	16170.7	54.36004	6974.0	7.96	10499.0	4.74
515820	6737.6	38.38602	8473.3	98.47863	16141.7	54.53349	7630.0	7.78	10565.0	4.81
515840	6736.8	40.42085	8281.4	97.35500	16334.7	55.17410	7908.0	7.77	10602.0	4.93
515860	6710.0	41.58675	8678.8	95.66671	15963.6	51.78675	8020.0	7.76	10665.0	5.07
515880	6591.8	39.55794	9115.2	92.99512	15644.6	50.99998	7633.0	7.60	10691.0	4.88
515900	6571.1	42.02094	9189.4	96.21907	15591.7	51.93178	7294.0	7.88	10333.0	5.13
515920	6560.0	40.76754	8962.4	93.82434	15829.6	51.21141	7433.0	7.67	10316.0	4.99
515940	6691.8	40.22648	8759.5	93.25522	15900.6	50.89338	7187.0	7.59	9890.0	4.95
515960	6474.1	41.22610	9110.9	90.30582	15766.6	51.91302	7391.0	7.40	10202.0	4.98
515980	5981.8	43.25281	9046.9	89.30048	16323.7	55.98238	7225.0	7.30	10205.0	5.01
516000	5969.6	41.57373	9445.8	91.92295	15936.7	54.64472	6977.0	7.52	10452.0	4.98
516020	5788.9	42.68952	9396.8	91.16737	16166.8	56.35998	7157.0	7.47	10609.0	5.03
516040	6038.4	40.48274	9040.6	85.76514	16272.9	58.17909	6923.0	7.00	10031.0	4.76
516060	6087.0	38.28205	8843.1	89.31927	16421.9	59.45515	6933.0	7.12	10251.0	4.59
516080	6442.1	41.06352	8729.1	88.61908	16180.9	58.26350	7400.0	7.23	10134.0	4.87
516100	6579.8	39.69070	8573.4	89.63482	16198.7	54.41963	7267.0	7.23	10064.0	4.75
516120	6294.2	40.77385	9155.2	94.06701	15902.7	53.20630	7061.0	7.65	10349.0	4.96
516140	6589.0	40.90682	8887.7	97.09420	15875.7	53.67821	6872.0	7.83	9884.0	5.01
516160	6401.8	38.44947	8905.4	93.16162	16044.8	56.94139	6970.0	7.47	10169.0	4.74
516180	6342.8	38.01365	8962.4	94.19829	16046.7	53.60596	7257.0	7.50	10573.0	4.68
516200	6555.6	37.68898	8625.4	101.17309	16171.7	55.17486	7180.0	7.92	10446.0	4.77
516220	6365.8	38.58088	8635.2	99.22371	16351.6	53.94079	7104.0	7.78	10453.0	4.77
516240	6356.1	40.49607	8740.0	98.42057	16256.5	51.61010	7092.0	7.79	10311.0	4.94
